date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:05:53	2190/2190	---M-Z	200	added ('OK')	application/json	date:Fri,%2017%20Jan%202020%2012:35:53%20GMT	https://salonspaw.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsalonspaw.com%2Fgiving%2F	C:/My%20Web%20Sites/neer2/salonspaw.com/wp-json/oembed/1.0/embeda61e.json	(from https://salonspaw.com/giving/)
18:05:53	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202020%2012:35:53%20GMT	https://salonspaw.com/?p=409	C:/My%20Web%20Sites/neer2/salonspaw.com/indexe145.html	(from https://salonspaw.com/giving/)
18:05:54	2287/2287	---M--	200	added ('OK')	text/xml	date:Fri,%2017%20Jan%202020%2012:35:54%20GMT	https://salonspaw.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsalonspaw.com%2Fgiving%2F&format=xml	C:/My%20Web%20Sites/neer2/salonspaw.com/wp-json/oembed/1.0/embed5dad	(from https://salonspaw.com/giving/)
18:05:55	13984/13984	---M--	200	added ('OK')	image/jpeg	etag:%224ba0da0f089b0ac7%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Homelessness-1.jpg?fit=300%2C300&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Homelessness-14cff.jpg	(from https://salonspaw.com/giving/)
18:05:56	14645/14645	---M--	200	added ('OK')	image/jpeg	etag:%22d3cdc6ef4bb0caf2%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/ZooDoo.jpg?fit=300%2C300&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/ZooDoo4cff.jpg	(from https://salonspaw.com/giving/)
18:05:57	13617/13617	---M--	200	added ('OK')	image/jpeg	etag:%22793a589768361ed4%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/MicroloanSq.jpg?fit=300%2C300&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/MicroloanSq4cff.jpg	(from https://salonspaw.com/giving/)
18:05:58	12142/12142	---M--	200	added ('OK')	image/jpeg	etag:%222c5c17948a4da408%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Artssq.jpg?fit=300%2C300&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Artssq4cff.jpg	(from https://salonspaw.com/giving/)
18:05:59	17124/17124	---M--	200	added ('OK')	image/jpeg	etag:%228cc0133f49d9a112%22	https://i2.wp.com/salonspaw.com/wp-content/uploads/2019/06/WomenSq.jpg?fit=300%2C300&ssl=1	C:/My%20Web%20Sites/neer2/i2.wp.com/salonspaw.com/wp-content/uploads/2019/06/WomenSq4cff.jpg	(from https://salonspaw.com/giving/)
18:06:00	11206/11206	---M--	200	added ('OK')	image/jpeg	etag:%22688f5811d5aee943%22	https://i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Watersq.jpg?fit=300%2C300&ssl=1	C:/My%20Web%20Sites/neer2/i1.wp.com/salonspaw.com/wp-content/uploads/2019/06/Watersq4cff.jpg	(from https://salonspaw.com/giving/)
18:06:00	2195/2195	---M-Z	200	added ('OK')	application/json	date:Fri,%2017%20Jan%202020%2012:36:00%20GMT	https://salonspaw.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsalonspaw.com%2Fgallery%2F	C:/My%20Web%20Sites/neer2/salonspaw.com/wp-json/oembed/1.0/embedeebc.json	(from https://salonspaw.com/gallery/)
18:06:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2017%20Jan%202020%2012:36:00%20GMT	https://salonspaw.com/?p=23	C:/My%20Web%20Sites/neer2/salonspaw.com/index40a0.html	(from https://salonspaw.com/gallery/)
18:06:01	2292/2292	---M--	200	added ('OK')	text/xml	date:Fri,%2017%20Jan%202020%2012:36:01%20GMT	https://salonspaw.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsalonspaw.com%2Fgallery%2F&format=xml	C:/My%20Web%20Sites/neer2/salonspaw.com/wp-json/oembed/1.0/embedf687	(from https://salonspaw.com/gallery/)
18:06:03	101628/101628	---M--	200	added ('OK')	image/jpeg	etag:%220681b7d2feca3c3d%22	https://i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-w2019-05-13_0808-3.jpg?fit=768%2C1024&ssl=1	C:/My%20Web%20Sites/neer2/i0.wp.com/salonspaw.com/wp-content/uploads/2019/06/Copy-of-w2019-05-13_0808-36a9b.jpg	(from https://salonspaw.com/gallery/)
